	AGRO ID	AGRO label	AGRO definition	Agrovoc URI	Agrovoc label	KK	"suggestions, comments"	Suggested URI
0	http://purl.obolibrary.org/obo/AGRO_01000015	tillage	group together tillage and no-till processes	http://aims.fao.org/aos/agrovoc/c_7771	tillage	Yes		
1	http://purl.obolibrary.org/obo/AGRO_00020004	deep tillage	A tillage process during which the tillage occurs at 25-30 cm depth. It can be used for deep rooted crop like pigeonpea.	http://aims.fao.org/aos/agrovoc/c_36704	deep tillage	Yes		
2	http://purl.obolibrary.org/obo/AGRO_00000031	strip-till	"A conservation tillage process in which narrow strips are tilled where seeds will be planted, leaving the soil in between the rows untilled."	http://aims.fao.org/aos/agrovoc/c_1516cbf3	strip tillage	Yes		
3	http://purl.obolibrary.org/obo/AGRO_00000463	windrowing	"An harvest process in which the cut herbage is putting into rows for further handling and collection, and sometimes also for protection at night."	http://aims.fao.org/aos/agrovoc/c_25674	windrowing	Yes		
4	http://purl.obolibrary.org/obo/AGRO_00000204	heat treatment	A pest control process in wich extremely hot temperature are used to kill pest.	http://aims.fao.org/aos/agrovoc/c_24947	heat treatment	no	"heat treatment in AGRV includes pasteurization, cooking, boiling, not only for pests. Use thermal control (alt thermal pest control http://aims.fao.org/aos/agrovoc/c_34347 )"	http://aims.fao.org/aos/agrovoc/c_34347
5	http://purl.obolibrary.org/obo/AGRO_00000210	steam treatment	A mechanical pest control process in which steam is used to kill pest.	http://aims.fao.org/aos/agrovoc/c_7381	steaming	"no, related"	"not only to kill pests, type of thermal pest control?Use thermal control (alt thermal pest control http://aims.fao.org/aos/agrovoc/c_34347 ) or add steaming (pest control) as NT?"	
6	http://purl.obolibrary.org/obo/AGRO_00000430	rotational grazing	"A grazing management system in which the land is subdivided or sectioned off into smaller areas, sometimes called paddocks. The livestock are moved from one paddock to another in order to best promote plant health and growth."	http://aims.fao.org/aos/agrovoc/c_6663	rotational grazing	Yes		
7	http://purl.obolibrary.org/obo/AGRO_00000431	continuous grazing	A grazing management system in which livestock have unrestricted access to the pasture area throughout the grazing season.	http://aims.fao.org/aos/agrovoc/c_36542	continuous grazing	Yes		
8	http://purl.obolibrary.org/obo/AGRO_00000432	strip grazing	"A system of grazing which confined animals to a strip or small part of the field for rapid grazing in a short time period.. The rest of the field is protected by a temporary fence, usually electric."	http://aims.fao.org/aos/agrovoc/c_7456	strip grazing	Yes		
9	http://purl.obolibrary.org/obo/AGRO_00000434	controlled grazing	"An intensive rotational grazing system in which livestock is allowed to graze for a limited time, leaving a leafy stubble, and then is moved to another area."	http://aims.fao.org/aos/agrovoc/c_5497	controlled grazing	Yes		
10	http://purl.obolibrary.org/obo/AGRO_00000322	treatment	A process during which some material is applied to a subject	http://aims.fao.org/aos/agrovoc/c_27921	treatment date	No	application	http://aims.fao.org/aos/agrovoc/c_331436
11	http://purl.obolibrary.org/obo/AGRO_00000481	monoculture	A planned process in which a single crop is cultivated in an area at a time.	http://aims.fao.org/aos/agrovoc/c_4915	monoculture	Yes		
12	http://purl.obolibrary.org/obo/AGRO_00000369	experiment	"A planned process in which a procedure is carried out to support, refute, or validate a hypothesis."	http://aims.fao.org/aos/agrovoc/c_4126	laboratory animals	No	"Better ""experimentation""  attern experiments , trials"	http://aims.fao.org/aos/agrovoc/c_2758
13	http://purl.obolibrary.org/obo/AGRO_00000115	ratoon	A shoot of a perennial plant.	http://aims.fao.org/aos/agrovoc/c_6462	ratooning	No	ratooons	http://aims.fao.org/aos/agrovoc/c_6463
14	http://purl.obolibrary.org/obo/AGRO_00000076	farmyard manure	"Animal manure that contains plant material, which has been used as bedding for animals and has absorbed the feces and urine."	http://aims.fao.org/aos/agrovoc/c_2810	farmyard manure	Yes		
15	http://purl.obolibrary.org/obo/AGRO_00000078	liquid manure	An animal manure made of animal urine and sometimes waste water.	http://aims.fao.org/aos/agrovoc/c_4373	liquid manures	Yes		
