subject_category	chebi_ontology
activities	75
activities|land management|resources	1
activities|phenomena	2
activities|subjects	2
activities|technology	6
entities	55
factors	9
features	1
features|resources	1
groups	4
measure	7
measure|properties	2
methods	8
objects	13
organisms	60
phenomena	95
phenomena|properties	2
phenomena|state	3
processes	1
products	75
products|substances	27
properties	56
properties|substances	12
resources	9
stages	2
state	10
subjects	5
substances	8635
substances|technology	14
systems	2
technology	9
time	2
