#license: "https://creativecommons.org/publicdomain/zero/1.0/"
#mapping_tool: "https://github.com/cmungall/rdf_matcher"
#mapping_date: "2020-10-07"
#curie_map:
#  AGRO: "http://purl.obolibrary.org/obo/AGRO_"
#  BFO: "http://purl.obolibrary.org/obo/BFO_"
#  CARO: "http://purl.obolibrary.org/obo/CARO_"
#  CHEBI: "http://purl.obolibrary.org/obo/CHEBI_"
#  ENVO: "http://purl.obolibrary.org/obo/ENVO_"
#  FAO: "http://purl.obolibrary.org/obo/FAO_"
#  FOODON: "http://purl.obolibrary.org/obo/FOODON_"
#  GENEPIO: "http://purl.obolibrary.org/obo/GENEPIO_"
#  GO: "http://purl.obolibrary.org/obo/GO_"
#  IAO: "http://purl.obolibrary.org/obo/IAO_"
#  NCBITaxon: "http://purl.obolibrary.org/obo/NCBITaxon_"
#  OBI: "http://purl.obolibrary.org/obo/OBI_"
#  PATO: "http://purl.obolibrary.org/obo/PATO_"
#  PCO: "http://purl.obolibrary.org/obo/PCO_"
#  PO: "http://purl.obolibrary.org/obo/PO_"
#  RO: "http://purl.obolibrary.org/obo/RO_"
#  UBERON: "http://purl.obolibrary.org/obo/UBERON_"
#  agrovoc: "http://aims.fao.org/aos/agrovoc/"
#  dc: "http://purl.org/dc/elements/1.1/"
#  dcterms: "http://purl.org/dc/terms/"
#  foaf: "http://xmlns.com/foaf/0.1/"
#  oio: "http://www.geneontology.org/formats/oboInOwl#"
#  owl: "http://www.w3.org/2002/07/owl#"
#  schema: "http://schema.org/"
#  skos: "http://www.w3.org/2004/02/skos/core#"
subject_id	subject_label	predicate_id	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	match_category	comment
agrovoc:c_2391	drought	owl:equivalentClass	ENVO:1000745	drought	Lexical	agrovoc	ENVO	rdf_matcher	0.7387961250362586	skos:prefLabel	rdfs:label	http://aims.fao.org/aos/agrovoc	bl:EnvironmentalProcess	drought	unique	.
agrovoc:c_2391	drought	owl:equivalentClass	ENVO:1000745	drought	Lexical|Stemming	agrovoc	ENVO	rdf_matcher	0.6666666666666666	skos:prefLabel	rdfs:label	http://aims.fao.org/aos/agrovoc	bl:EnvironmentalProcess	drought	unique	.
agrovoc:c_fd44db40	coastal zones	owl:equivalentClass	ENVO:00000304	shore	Lexical|Stemming	agrovoc	ENVO	rdf_matcher	0.13336855737682143	skos:prefLabel	oio:hasBroadSynonym	http://aims.fao.org/aos/agrovoc	bl:EnvironmentalFeature	coastal zon	many_to_many	.
agrovoc:c_fd44db40	coastal zones	owl:equivalentClass	ENVO:00000316	intertidal zone	Lexical|Stemming	agrovoc	ENVO	rdf_matcher	0.17873760922563603	skos:prefLabel	oio:hasBroadSynonym	http://aims.fao.org/aos/agrovoc	bl:EnvironmentalZone	coastal zon	one_to_many	.
agrovoc:c_fd44db40	coastal zones	owl:equivalentClass	ENVO:00000486	shoreline	Lexical|Stemming	agrovoc	ENVO	rdf_matcher	0.17873760922563603	skos:prefLabel	oio:hasNarrowSynonym	http://aims.fao.org/aos/agrovoc	bl:EnvironmentalFeature	coastal zon	one_to_many	.
agrovoc:c_fd44db40	coastal zones	owl:equivalentClass	ENVO:01001468	intertidal ecosystem	Lexical|Stemming	agrovoc	ENVO	rdf_matcher	0.17873760922563603	skos:prefLabel	oio:hasBroadSynonym	http://aims.fao.org/aos/agrovoc	bl:EnvironmentalSystem	coastal zon	one_to_many	.
agrovoc:c_2409	dune soils	owl:equivalentClass	ENVO:00002260	dune soil	Lexical|Stemming	agrovoc	ENVO	rdf_matcher	0.71117372060607	skos:prefLabel	rdfs:label	http://aims.fao.org/aos/agrovoc	ENVO	dune soil	unique	.
agrovoc:c_7109	sloping land	owl:equivalentClass	ENVO:01000333	hillside	Lexical|Stemming	agrovoc	ENVO	rdf_matcher	0.6666666666666666	skos:altLabel	rdfs:label	http://aims.fao.org/aos/agrovoc	bl:EnvironmentalFeature	hillsid	unique	.
agrovoc:c_949f64f2	tidewater glaciers	owl:equivalentClass	ENVO:00000456	tidewater glacier	Lexical|Stemming	agrovoc	ENVO	rdf_matcher	0.71117372060607	skos:prefLabel	rdfs:label	http://aims.fao.org/aos/agrovoc	entity	tidewater glaci	unique	.
agrovoc:c_7434	storehouses	owl:equivalentClass	ENVO:00003963	warehouse	Lexical|Stemming	agrovoc	ENVO	rdf_matcher	0.6666666666666666	skos:altLabel	rdfs:label	http://aims.fao.org/aos/agrovoc	entity	warehous	unique	.
