#license: "https://creativecommons.org/publicdomain/zero/1.0/"
#mapping_tool: "https://github.com/cmungall/rdf_matcher"
#mapping_date: "2020-10-08"
#curie_map:
#  AGRO: "http://purl.obolibrary.org/obo/AGRO_"
#  BFO: "http://purl.obolibrary.org/obo/BFO_"
#  CHEBI: "http://purl.obolibrary.org/obo/CHEBI_"
#  CHMO: "http://purl.obolibrary.org/obo/CHMO_"
#  CL: "http://purl.obolibrary.org/obo/CL_"
#  CLO: "http://purl.obolibrary.org/obo/CLO_"
#  ENVO: "http://purl.obolibrary.org/obo/ENVO_"
#  GAZ: "http://purl.obolibrary.org/obo/GAZ_"
#  GO: "http://purl.obolibrary.org/obo/GO_"
#  HP: "http://purl.obolibrary.org/obo/HP_"
#  IAO: "http://purl.obolibrary.org/obo/IAO_"
#  IDO: "http://purl.obolibrary.org/obo/IDO_"
#  NCBITaxon: "http://purl.obolibrary.org/obo/NCBITaxon_"
#  OBI: "http://purl.obolibrary.org/obo/OBI_"
#  OGMS: "http://purl.obolibrary.org/obo/OGMS_"
#  OMIABIS: "http://purl.obolibrary.org/obo/OMIABIS_"
#  PATO: "http://purl.obolibrary.org/obo/PATO_"
#  PR: "http://purl.obolibrary.org/obo/PR_"
#  RO: "http://purl.obolibrary.org/obo/RO_"
#  SO: "http://purl.obolibrary.org/obo/SO_"
#  UBERON: "http://purl.obolibrary.org/obo/UBERON_"
#  UO: "http://purl.obolibrary.org/obo/UO_"
#  VO: "http://purl.obolibrary.org/obo/VO_"
#  agrovoc: "http://aims.fao.org/aos/agrovoc/"
#  dc: "http://purl.org/dc/elements/1.1/"
#  dcterms: "http://purl.org/dc/terms/"
#  foaf: "http://xmlns.com/foaf/0.1/"
#  oio: "http://www.geneontology.org/formats/oboInOwl#"
#  owl: "http://www.w3.org/2002/07/owl#"
#  rdf: "http://www.w3.org/1999/02/22-rdf-syntax-ns#"
#  skos: "http://www.w3.org/2004/02/skos/core#"
#  xsd: "http://www.w3.org/2001/XMLSchema#"
subject_id	subject_label	predicate_id	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	match_category	comment
agrovoc:c_8332	watering	owl:equivalentClass	OBI:0000753	Waters	Lexical|Stemming	agrovoc	OBI	rdf_matcher	0.585786437626905	skos:prefLabel	rdfs:label	http://aims.fao.org/aos/agrovoc	organization	water	many_to_one	.
agrovoc:c_9005	autoimmune diseases	owl:equivalentClass	OBI:1110054	autoimmune disease	Lexical|Stemming	agrovoc	OBI	rdf_matcher	0.71117372060607	skos:prefLabel	rdfs:label	http://aims.fao.org/aos/agrovoc	entity	autoimmune diseas	unique	.
agrovoc:c_7989	trypsin	owl:equivalentClass	OBI:0302891	trypsination	Lexical|Stemming	agrovoc	OBI	rdf_matcher	0.6666666666666666	skos:prefLabel	rdfs:label	http://aims.fao.org/aos/agrovoc	entity	trypsin	unique	.
agrovoc:c_7989	trypsin	owl:equivalentClass	OBI:0302891	trypsination	Lexical|Stemming	agrovoc	OBI	rdf_matcher	0.6666666666666666	skos:prefLabel	rdfs:label	http://aims.fao.org/aos/agrovoc	entity	trypsin	unique	.
agrovoc:c_7989	trypsin	owl:equivalentClass	OBI:0302891	trypsination	Lexical|Stemming	agrovoc	OBI	rdf_matcher	0.6666666666666666	skos:prefLabel	rdfs:label	http://aims.fao.org/aos/agrovoc	entity	trypsin	unique	.
agrovoc:c_7989	trypsin	owl:equivalentClass	OBI:0302891	trypsination	Lexical|Stemming	agrovoc	OBI	rdf_matcher	0.6666666666666666	skos:prefLabel	rdfs:label	http://aims.fao.org/aos/agrovoc	entity	trypsin	unique	.
agrovoc:c_7989	trypsin	owl:equivalentClass	OBI:0302891	trypsination	Lexical|Stemming	agrovoc	OBI	rdf_matcher	0.6666666666666666	skos:prefLabel	rdfs:label	http://aims.fao.org/aos/agrovoc	entity	trypsin	unique	.
agrovoc:c_a2a5146d	singling	owl:equivalentClass	OBI:0002127	single cell specimen	Lexical|Stemming	agrovoc	OBI	rdf_matcher	0.6666666666666666	skos:prefLabel	rdfs:label	http://aims.fao.org/aos/agrovoc	entity	singl	unique	.
agrovoc:c_2603	enzymes	owl:equivalentClass	OBI:0000427	enzyme	Lexical|Stemming	agrovoc	OBI	rdf_matcher	0.6666666666666666	skos:prefLabel	rdfs:label	http://aims.fao.org/aos/agrovoc	entity	enzym	unique	.
agrovoc:c_2603	enzymes	owl:equivalentClass	OBI:0000427	enzyme	Lexical|Stemming	agrovoc	OBI	rdf_matcher	0.6666666666666666	skos:prefLabel	rdfs:label	http://aims.fao.org/aos/agrovoc	entity	enzym	unique	.
