#license: "https://creativecommons.org/publicdomain/zero/1.0/"
#mapping_tool: "https://github.com/cmungall/rdf_matcher"
#mapping_date: "2020-10-13"
#curie_map:
#  AGRO: "http://purl.obolibrary.org/obo/AGRO_"
#  BFO: "http://purl.obolibrary.org/obo/BFO_"
#  ENVO: "http://purl.obolibrary.org/obo/ENVO_"
#  IAO: "http://purl.obolibrary.org/obo/IAO_"
#  PATO: "http://purl.obolibrary.org/obo/PATO_"
#  RO: "http://purl.obolibrary.org/obo/RO_"
#  agrovoc: "http://aims.fao.org/aos/agrovoc/"
#  dc: "http://purl.org/dc/elements/1.1/"
#  oio: "http://www.geneontology.org/formats/oboInOwl#"
#  owl: "http://www.w3.org/2002/07/owl#"
#  skos: "http://www.w3.org/2004/02/skos/core#"
subject_id	subject_label	predicate_id	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	match_category	comment
agrovoc:c_3160	gibberellic acid	owl:equivalentClass	PATO:0001737	gaseus configuration	Lexical|Stemming	agrovoc	PATO	rdf_matcher	0.3333333333333333	skos:altLabel	oio:hasExactSynonym	substances	quality	ga	unique	.
agrovoc:c_7728	thinness	owl:equivalentClass	PATO:0000592	decreased thickness	Lexical|Stemming	agrovoc	PATO	rdf_matcher	0.4142135623730951	skos:prefLabel	oio:hasRelatedSynonym	state	quality	thin	many_to_one	.
agrovoc:c_26771	discoloration	owl:equivalentClass	PATO:0000331	discolored	Lexical|Stemming	agrovoc	PATO	rdf_matcher	0.6666666666666666	skos:prefLabel	rdfs:label	phenomena	quality	dcolor	unique	.
agrovoc:c_8601	acidity	owl:equivalentClass	PATO:0001429	acidic	Lexical|Stemming	agrovoc	PATO	rdf_matcher	0.5	skos:prefLabel	rdfs:label	properties	quality	acid	many_to_many	.
agrovoc:c_8601	acidity	owl:equivalentClass	PATO:0001842	acidity	Lexical|Stemming	agrovoc	PATO	rdf_matcher	0.5	skos:prefLabel	rdfs:label	properties	quality	acid	many_to_many	.
agrovoc:c_8601	acidity	owl:equivalentClass	PATO:0001842	acidity	Lexical	agrovoc	PATO	rdf_matcher	0.585786437626905	skos:prefLabel	rdfs:label	properties	quality	acidity	many_to_many	.
agrovoc:c_5653	pedicels	owl:equivalentClass	PATO:0001438	pedicellate	Lexical|Stemming	agrovoc	PATO	rdf_matcher	0.6666666666666666	skos:prefLabel	rdfs:label	entities	quality	pedicel	unique	.
agrovoc:c_12641	Monocystis	owl:equivalentClass	PATO:0002088	monocystic	Lexical|Stemming	agrovoc	PATO	rdf_matcher	0.6666666666666666	skos:prefLabel	rdfs:label	organisms	quality	monocyst	unique	.
agrovoc:c_7664	tendrils	owl:equivalentClass	PATO:0015005	tendrilous	Lexical|Stemming	agrovoc	PATO	rdf_matcher	0.2	skos:prefLabel	oio:hasBroadSynonym	entities	quality	tendril	unique	.
agrovoc:c_7664	tendrils	owl:equivalentClass	PATO:0015005	tendrilous	Lexical|Stemming	agrovoc	PATO	rdf_matcher	0.6666666666666666	skos:prefLabel	rdfs:label	entities	quality	tendril	unique	.
agrovoc:c_5806	phosphorylation	owl:equivalentClass	PATO:0002220	phosphorylated	Lexical|Stemming	agrovoc	PATO	rdf_matcher	0.585786437626905	skos:prefLabel	rdfs:label	phenomena	quality	phosphoryl	one_to_many	.
agrovoc:c_5806	phosphorylation	owl:equivalentClass	PATO:0002262	phosphorylation	Lexical|Stemming	agrovoc	PATO	rdf_matcher	0.585786437626905	skos:prefLabel	rdfs:label	phenomena	quality	phosphoryl	one_to_many	.
agrovoc:c_5806	phosphorylation	owl:equivalentClass	PATO:0002262	phosphorylation	Lexical	agrovoc	PATO	rdf_matcher	0.6666666666666666	skos:prefLabel	rdfs:label	phenomena	quality	phosphorylation	one_to_many	.
agrovoc:c_8349	weight	owl:equivalentClass	PATO:0000128	weight	Lexical	agrovoc	PATO	rdf_matcher	0.7387961250362586	skos:prefLabel	rdfs:label	measure|properties	quality	weight	unique	.
agrovoc:c_8349	weight	owl:equivalentClass	PATO:0000128	weight	Lexical|Stemming	agrovoc	PATO	rdf_matcher	0.6666666666666666	skos:prefLabel	rdfs:label	measure|properties	quality	weight	unique	.
agrovoc:c_2412	duration	owl:equivalentClass	PATO:0001309	duration	Lexical|Stemming	agrovoc	PATO	rdf_matcher	0.585786437626905	skos:prefLabel	rdfs:label	time	quality	durat	many_to_one	.
agrovoc:c_2412	duration	owl:equivalentClass	PATO:0001309	duration	Lexical	agrovoc	PATO	rdf_matcher	0.6666666666666666	skos:prefLabel	rdfs:label	time	quality	duration	many_to_one	.
agrovoc:c_37831	adolescents	owl:equivalentClass	PATO:0001189	adolescent	Lexical|Stemming	agrovoc	PATO	rdf_matcher	0.6666666666666666	skos:prefLabel	rdfs:label	entities	quality	adolesc	unique	.
agrovoc:c_3519	heat	owl:equivalentClass	PATO:0001305	increased temperature	Lexical|Stemming	agrovoc	PATO	rdf_matcher	0.71117372060607	skos:altLabel	oio:hasExactSynonym	measure|properties	quality	high temperatur	unique	.
agrovoc:c_3519	heat	owl:equivalentClass	PATO:0001305	increased temperature	Lexical	agrovoc	PATO	rdf_matcher	0.7768953867957378	skos:altLabel	oio:hasExactSynonym	measure|properties	quality	high temperature	unique	.
