#license: "https://creativecommons.org/publicdomain/zero/1.0/"
#mapping_tool: "https://github.com/cmungall/rdf_matcher"
#mapping_date: "2020-10-13"
#curie_map:
#  AGRO: "http://purl.obolibrary.org/obo/AGRO_"
#  BFO: "http://purl.obolibrary.org/obo/BFO_"
#  CARO: "http://purl.obolibrary.org/obo/CARO_"
#  CHEBI: "http://purl.obolibrary.org/obo/CHEBI_"
#  ENVO: "http://purl.obolibrary.org/obo/ENVO_"
#  FOODON: "http://purl.obolibrary.org/obo/FOODON_"
#  GO: "http://purl.obolibrary.org/obo/GO_"
#  IAO: "http://purl.obolibrary.org/obo/IAO_"
#  NCBITaxon: "http://purl.obolibrary.org/obo/NCBITaxon_"
#  OBI: "http://purl.obolibrary.org/obo/OBI_"
#  PATO: "http://purl.obolibrary.org/obo/PATO_"
#  PECO: "http://purl.obolibrary.org/obo/PECO_"
#  PO: "http://purl.obolibrary.org/obo/PO_"
#  RO: "http://purl.obolibrary.org/obo/RO_"
#  TO: "http://purl.obolibrary.org/obo/TO_"
#  agrovoc: "http://aims.fao.org/aos/agrovoc/"
#  dc: "http://purl.org/dc/elements/1.1/"
#  oio: "http://www.geneontology.org/formats/oboInOwl#"
#  owl: "http://www.w3.org/2002/07/owl#"
#  skos: "http://www.w3.org/2004/02/skos/core#"
subject_id	subject_label	predicate_id	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	match_category	comment
agrovoc:c_4237	leaf curls	owl:equivalentClass	TO:0002681	leaf curling	Lexical|Stemming	agrovoc	TO	rdf_matcher	0.71117372060607	skos:prefLabel	rdfs:label	phenomena	plant_trait_ontology	leaf curl	unique	.
agrovoc:c_27498	cytoplasmic male sterility	owl:equivalentClass	TO:0000580	cytoplasmic male sterility	Lexical|Stemming	agrovoc	TO	rdf_matcher	0.7519492530313434	skos:prefLabel	rdfs:label	phenomena	plant_trait_ontology	cytoplasmic male steril	unique	.
agrovoc:c_27498	cytoplasmic male sterility	owl:equivalentClass	TO:0000580	cytoplasmic male sterility	Lexical	agrovoc	TO	rdf_matcher	0.810860176054461	skos:prefLabel	rdfs:label	phenomena	plant_trait_ontology	cytoplasmic male sterility	unique	.
agrovoc:c_37254	stomatal resistance	owl:equivalentClass	TO:0000523	stomatal resistance	Lexical|Stemming	agrovoc	TO	rdf_matcher	0.71117372060607	skos:prefLabel	rdfs:label	properties	plant_trait_ontology	stomatal resist	unique	.
agrovoc:c_37254	stomatal resistance	owl:equivalentClass	TO:0000523	stomatal resistance	Lexical	agrovoc	TO	rdf_matcher	0.7768953867957378	skos:prefLabel	rdfs:label	properties	plant_trait_ontology	stomatal resistance	unique	.
agrovoc:c_36749	respiration rate	owl:equivalentClass	TO:0001026	respiration rate	Lexical|Stemming	agrovoc	TO	rdf_matcher	0.71117372060607	skos:prefLabel	rdfs:label	measure	plant_trait_ontology	respiration r	unique	.
agrovoc:c_36749	respiration rate	owl:equivalentClass	TO:0001026	respiration rate	Lexical	agrovoc	TO	rdf_matcher	0.7768953867957378	skos:prefLabel	rdfs:label	measure	plant_trait_ontology	respiration rate	unique	.
agrovoc:c_1298	carbohydrate content	owl:equivalentClass	TO:0000291	carbohydrate content	Lexical|Stemming	agrovoc	TO	rdf_matcher	0.6351831056874558	skos:prefLabel	rdfs:label	properties	plant_trait_ontology	carbohydrate cont	one_to_many	.
agrovoc:c_1298	carbohydrate content	owl:equivalentClass	TO:0000291	carbohydrate content	Lexical	agrovoc	TO	rdf_matcher	0.71117372060607	skos:prefLabel	rdfs:label	properties	plant_trait_ontology	carbohydrate content	one_to_many	.
agrovoc:c_1298	carbohydrate content	owl:equivalentClass	TO:0000333	sugar content	Lexical|Stemming	agrovoc	TO	rdf_matcher	0.6351831056874558	skos:altLabel	rdfs:label	properties	plant_trait_ontology	sugar cont	one_to_many	.
agrovoc:c_1298	carbohydrate content	owl:equivalentClass	TO:0000333	sugar content	Lexical	agrovoc	TO	rdf_matcher	0.71117372060607	skos:altLabel	rdfs:label	properties	plant_trait_ontology	sugar content	one_to_many	.
agrovoc:c_3705	heterosis	owl:equivalentClass	TO:0000355	heterosis	Lexical|Stemming	agrovoc	TO	rdf_matcher	0.6666666666666666	skos:prefLabel	rdfs:label	phenomena	plant_trait_ontology	heterosi	unique	.
agrovoc:c_3705	heterosis	owl:equivalentClass	TO:0000355	heterosis	Lexical	agrovoc	TO	rdf_matcher	0.7387961250362586	skos:prefLabel	rdfs:label	phenomena	plant_trait_ontology	heterosis	unique	.
agrovoc:c_14168	seed dormancy	owl:equivalentClass	TO:0000253	seed dormancy	Lexical|Stemming	agrovoc	TO	rdf_matcher	0.71117372060607	skos:prefLabel	rdfs:label	phenomena|state	plant_trait_ontology	seed dorm	unique	.
agrovoc:c_14168	seed dormancy	owl:equivalentClass	TO:0000253	seed dormancy	Lexical	agrovoc	TO	rdf_matcher	0.7768953867957378	skos:prefLabel	rdfs:label	phenomena|state	plant_trait_ontology	seed dormancy	unique	.
agrovoc:c_24854	harvest index	owl:equivalentClass	TO:0000128	harvest index	Lexical	agrovoc	TO	rdf_matcher	0.7768953867957378	skos:prefLabel	rdfs:label	measure	plant_trait_ontology	harvest index	unique	.
agrovoc:c_24854	harvest index	owl:equivalentClass	TO:0000128	harvest index	Lexical|Stemming	agrovoc	TO	rdf_matcher	0.71117372060607	skos:prefLabel	rdfs:label	measure	plant_trait_ontology	harvest index	unique	.
agrovoc:c_330644	grass weeds	owl:equivalentClass	TO:0000343	grass weed	Lexical|Stemming	agrovoc	TO	rdf_matcher	0.71117372060607	skos:prefLabel	rdfs:label	organisms	plant_trait_ontology	grass we	unique	.
agrovoc:c_6251	protein content	owl:equivalentClass	TO:0000598	protein content	Lexical|Stemming	agrovoc	TO	rdf_matcher	0.71117372060607	skos:prefLabel	rdfs:label	properties	plant_trait_ontology	protein cont	unique	.
